title,description
Customer Care Specialist,Assists customers or users by resolving questions issues and service requests.
Customer Experience Specialist,Assists customers or users by resolving questions issues and service requests.
Customer Experience Manager,Assists customers or users by resolving questions issues and service requests.
Client Support Analyst,Assists customers or users by resolving questions issues and service requests.
Help Desk Technician,Supports technology systems users and operations to keep services running.
Remote Support Technician,Assists customers or users by resolving questions issues and service requests.
Chat Support Agent,Assists customers or users by resolving questions issues and service requests.
Email Support Specialist,Assists customers or users by resolving questions issues and service requests.
Support Operations Analyst,Assists customers or users by resolving questions issues and service requests.
Support Manager,Assists customers or users by resolving questions issues and service requests.
Service Desk Analyst,Assists customers or users by resolving questions issues and service requests.
Service Delivery Manager,Plans coordinates and delivers projects while managing scope timelines and stakeholders.
Finance Analyst,Analyzes financial information and supports planning reporting or investment decisions.
Financial Analyst,Analyzes financial information and supports planning reporting or investment decisions.
Senior Financial Analyst,Analyzes financial information and supports planning reporting or investment decisions.
FP&A Analyst,Analyzes financial information and supports planning reporting or investment decisions.
FP&A Manager,Analyzes financial information and supports planning reporting or investment decisions.
Corporate Finance Analyst,Analyzes financial information and supports planning reporting or investment decisions.
Investment Analyst,Analyzes financial information and supports planning reporting or investment decisions.
Equity Research Analyst,Analyzes financial information and supports planning reporting or investment decisions.
Credit Analyst,Analyzes financial information and supports planning reporting or investment decisions.
Financial Risk Analyst,Analyzes financial information and supports planning reporting or investment decisions.
Treasury Analyst,Analyzes financial information and supports planning reporting or investment decisions.
Treasury Manager,Analyzes financial information and supports planning reporting or investment decisions.
Accountant,Manages financial records transactions reporting and accounting processes.
Senior Accountant,Manages financial records transactions reporting and accounting processes.
Staff Accountant,Manages financial records transactions reporting and accounting processes.
Junior Accountant,Manages financial records transactions reporting and accounting processes.
Management Accountant,Manages financial records transactions reporting and accounting processes.
Cost Accountant,Manages financial records transactions reporting and accounting processes.
Project Accountant,Manages financial records transactions reporting and accounting processes.
Revenue Accountant,Manages financial records transactions reporting and accounting processes.
Tax Accountant,Manages financial records transactions reporting and accounting processes.
Tax Analyst,Prepares reviews and supports tax filings compliance and planning.
Tax Consultant,Advises organizations and delivers practical solutions for business needs.
Tax Manager,Prepares reviews and supports tax filings compliance and planning.
Bookkeeper,Manages financial records transactions reporting and accounting processes.
Accounts Payable Specialist,Manages financial records transactions reporting and accounting processes.
Accounts Receivable Specialist,Manages financial records transactions reporting and accounting processes.
Payroll Specialist,Manages financial records transactions reporting and accounting processes.
Payroll Analyst,Manages financial records transactions reporting and accounting processes.
Billing Specialist,Manages financial records transactions reporting and accounting processes.
Collections Specialist,Manages financial records transactions reporting and accounting processes.
Audit Associate,Reviews records processes and controls to confirm accuracy and compliance.
Internal Auditor,Reviews records processes and controls to confirm accuracy and compliance.
IT Auditor,Reviews records processes and controls to confirm accuracy and compliance.
Compliance Auditor,Reviews records processes and controls to confirm accuracy and compliance.
External Auditor,Reviews records processes and controls to confirm accuracy and compliance.
Financial Controller,Analyzes financial information and supports planning reporting or investment decisions.
Assistant Controller,Manages financial records transactions reporting and accounting processes.
Finance Manager,Analyzes financial information and supports planning reporting or investment decisions.
Accounting Manager,Manages people processes projects or services for a business function.
Budget Analyst,Analyzes financial information and supports planning reporting or investment decisions.
Pricing Analyst,Analyzes financial information and supports planning reporting or investment decisions.
Procurement Analyst,Manages purchasing sourcing and supplier activities for business needs.
Sourcing Specialist,Manages purchasing sourcing and supplier activities for business needs.
Contracts Analyst,Prepares reviews and manages agreements and contract processes.
Contract Manager,Prepares reviews and manages agreements and contract processes.
Grants Manager,Manages people processes projects or services for a business function.
Insurance Analyst,Evaluates insurance applications claims or risks and supports policy decisions.
Actuarial Analyst,Analyzes financial information and supports planning reporting or investment decisions.
Actuary,Analyzes financial information and supports planning reporting or investment decisions.
Underwriter,Evaluates insurance applications claims or risks and supports policy decisions.
Loan Processor,Reviews loan information and supports lending application processing.
Mortgage Processor,Reviews loan information and supports lending application processing.
Fraud Analyst,Investigates financial activity and supports fraud compliance controls.
Anti-Money Laundering Analyst,Investigates financial activity and supports fraud compliance controls.
KYC Analyst,Investigates financial activity and supports fraud compliance controls.
Compliance Analyst,Monitors rules policies and processes to support legal and regulatory compliance.
Regulatory Compliance Specialist,Monitors rules policies and processes to support legal and regulatory compliance.
Legal Assistant,Supports legal work contracts compliance research or advisory needs.
Paralegal,Supports legal work contracts compliance research or advisory needs.
Corporate Paralegal,Supports legal work contracts compliance research or advisory needs.
Immigration Paralegal,Supports legal work contracts compliance research or advisory needs.
Legal Analyst,Supports legal work contracts compliance research or advisory needs.
Legal Operations Specialist,Supports legal work contracts compliance research or advisory needs.
Contracts Specialist,Prepares reviews and manages agreements and contract processes.
Contract Administrator,Prepares reviews and manages agreements and contract processes.
Compliance Specialist,Monitors rules policies and processes to support legal and regulatory compliance.
Privacy Specialist,Provides specialized expertise and support for a business or technical function.
Policy Analyst,Analyzes information trends and processes to support better decisions.
Regulatory Affairs Specialist,Monitors rules policies and processes to support legal and regulatory compliance.
Intellectual Property Specialist,Provides specialized expertise and support for a business or technical function.
Patent Analyst,Supports legal work contracts compliance research or advisory needs.
Trademark Specialist,Supports legal work contracts compliance research or advisory needs.
Legal Counsel,Supports legal work contracts compliance research or advisory needs.
Corporate Counsel,Supports legal work contracts compliance research or advisory needs.
Employment Counsel,Supports legal work contracts compliance research or advisory needs.
Privacy Counsel,Supports legal work contracts compliance research or advisory needs.
Commercial Counsel,Supports legal work contracts compliance research or advisory needs.
Technology Counsel,Supports legal work contracts compliance research or advisory needs.
Data Protection Officer,Supports legal work contracts compliance research or advisory needs.
Human Resources Specialist,Supports hiring employee programs HR operations and workplace processes.
HR Generalist,Supports hiring employee programs HR operations and workplace processes.
HR Business Partner,Supports hiring employee programs HR operations and workplace processes.
People Operations Specialist,Supports hiring employee programs HR operations and workplace processes.
People Operations Manager,Supports hiring employee programs HR operations and workplace processes.
Recruiter,Supports hiring employee programs HR operations and workplace processes.
Technical Recruiter,Supports hiring employee programs HR operations and workplace processes.
Talent Acquisition Specialist,Supports hiring employee programs HR operations and workplace processes.
Talent Acquisition Partner,Supports hiring employee programs HR operations and workplace processes.
Sourcing Recruiter,Manages purchasing sourcing and supplier activities for business needs.
Recruitment Coordinator,Supports hiring employee programs HR operations and workplace processes.
HR Coordinator,Supports hiring employee programs HR operations and workplace processes.
HR Analyst,Supports hiring employee programs HR operations and workplace processes.
Compensation Analyst,Supports hiring employee programs HR operations and workplace processes.
Benefits Specialist,Supports hiring employee programs HR operations and workplace processes.
Payroll Benefits Specialist,Manages financial records transactions reporting and accounting processes.
Learning and Development Specialist,Designs and delivers training programs that improve employee skills.
Training Specialist,Designs and delivers training programs that improve employee skills.
Instructional Designer,Designs and delivers training programs that improve employee skills.
E-Learning Developer,Designs and delivers training programs that improve employee skills.
Corporate Trainer,Designs and delivers training programs that improve employee skills.
Employee Relations Specialist,Supports hiring employee programs HR operations and workplace processes.
HRIS Analyst,Supports hiring employee programs HR operations and workplace processes.
Workday Administrator,Supports hiring employee programs HR operations and workplace processes.
Talent Development Specialist,Supports hiring employee programs HR operations and workplace processes.
Organizational Development Consultant,Advises organizations and delivers practical solutions for business needs.
Diversity and Inclusion Specialist,Supports hiring employee programs HR operations and workplace processes.
People Analytics Specialist,Supports hiring employee programs HR operations and workplace processes.
Operations Manager,Improves business operations planning and execution across teams.
Operations Analyst,Improves business operations planning and execution across teams.
Business Operations Analyst,Improves business operations planning and execution across teams.
Business Operations Manager,Improves business operations planning and execution across teams.
Strategy Analyst,Improves business operations planning and execution across teams.
Strategy Manager,Improves business operations planning and execution across teams.
Chief of Staff,Improves business operations planning and execution across teams.
Executive Assistant,Provides administrative support coordination and records management for teams.
Virtual Assistant,Provides administrative support coordination and records management for teams.
Administrative Assistant,Provides administrative support coordination and records management for teams.
Remote Administrative Assistant,Provides administrative support coordination and records management for teams.
Operations Coordinator,Coordinates tasks schedules communication and resources for projects or services.
Program Coordinator,Coordinates tasks schedules communication and resources for projects or services.
Project Coordinator,Coordinates tasks schedules communication and resources for projects or services.
Team Coordinator,Coordinates tasks schedules communication and resources for projects or services.
Office Manager,Provides administrative support coordination and records management for teams.
Data Entry Specialist,Provides administrative support coordination and records management for teams.
Document Controller,Manages financial records transactions reporting and accounting processes.
Records Specialist,Provides administrative support coordination and records management for teams.
Research Assistant,Collects organizes and analyzes information to support decisions or projects.
Research Analyst,Collects organizes and analyzes information to support decisions or projects.
Online Researcher,Collects organizes and analyzes information to support decisions or projects.
Knowledge Manager,Collects organizes and analyzes information to support decisions or projects.
Process Improvement Specialist,Improves processes quality standards and operational performance.
Continuous Improvement Specialist,Improves processes quality standards and operational performance.
Quality Analyst,Improves processes quality standards and operational performance.
Quality Assurance Analyst,Tests software quality and helps prevent defects before release.
Quality Manager,Improves processes quality standards and operational performance.
Vendor Manager,Coordinates suppliers inventory logistics and planning for smooth operations.
Vendor Operations Specialist,Coordinates suppliers inventory logistics and planning for smooth operations.
Supply Chain Analyst,Coordinates suppliers inventory logistics and planning for smooth operations.
Supply Chain Manager,Coordinates suppliers inventory logistics and planning for smooth operations.
Logistics Analyst,Coordinates suppliers inventory logistics and planning for smooth operations.
Logistics Coordinator,Coordinates suppliers inventory logistics and planning for smooth operations.
Inventory Analyst,Coordinates suppliers inventory logistics and planning for smooth operations.
Demand Planner,Coordinates suppliers inventory logistics and planning for smooth operations.
Supply Planner,Coordinates suppliers inventory logistics and planning for smooth operations.
Procurement Specialist,Manages purchasing sourcing and supplier activities for business needs.
Purchasing Analyst,Manages purchasing sourcing and supplier activities for business needs.
Category Manager,Manages purchasing sourcing and supplier activities for business needs.
Ecommerce Manager,Manages online commerce operations listings orders and customer workflows.
Ecommerce Specialist,Manages online commerce operations listings orders and customer workflows.
Marketplace Manager,Manages online commerce operations listings orders and customer workflows.
Amazon Marketplace Specialist,Manages online commerce operations listings orders and customer workflows.
Shopify Manager,Builds and maintains software using modern development tools and frameworks.
Merchandising Analyst,Analyzes information trends and processes to support better decisions.
Online Merchandiser,Manages online commerce operations listings orders and customer workflows.
Catalog Specialist,Manages online commerce operations listings orders and customer workflows.
Product Listing Specialist,Manages online commerce operations listings orders and customer workflows.
Order Management Specialist,Manages online commerce operations listings orders and customer workflows.
Fulfillment Analyst,Manages online commerce operations listings orders and customer workflows.
Customer Operations Specialist,Provides specialized expertise and support for a business or technical function.
Business Development Analyst,Analyzes information trends and processes to support better decisions.
Remote Office Coordinator,Coordinates tasks schedules communication and resources for projects or services.
Healthcare Quality Analyst,Improves processes quality standards and operational performance.
Clinical Data Analyst,Supports healthcare services data documentation research or patient care workflows.
Clinical Research Associate,Supports healthcare services data documentation research or patient care workflows.
Clinical Research Coordinator,Supports healthcare services data documentation research or patient care workflows.
Clinical Trial Manager,Supports healthcare services data documentation research or patient care workflows.
Clinical Project Manager,Plans coordinates and delivers projects while managing scope timelines and stakeholders.
Medical Coder,Supports healthcare services data documentation research or patient care workflows.
Certified Medical Coder,Supports healthcare services data documentation research or patient care workflows.
Medical Billing Specialist,Manages financial records transactions reporting and accounting processes.
Medical Claims Analyst,Evaluates insurance applications claims or risks and supports policy decisions.
Health Informatics Specialist,Supports healthcare services data documentation research or patient care workflows.
Healthcare Business Analyst,Analyzes requirements processes and systems to improve business outcomes.
Healthcare Consultant,Advises organizations and delivers practical solutions for business needs.
Telehealth Nurse,Supports healthcare services data documentation research or patient care workflows.
Remote Nurse Case Manager,Supports healthcare services data documentation research or patient care workflows.
Nurse Case Manager,Supports healthcare services data documentation research or patient care workflows.
Utilization Review Nurse,Supports healthcare services data documentation research or patient care workflows.
Clinical Documentation Specialist,Writes clear content documentation or materials for specific audiences.
Medical Records Specialist,Provides administrative support coordination and records management for teams.
Health Information Technician,Supports healthcare services data documentation research or patient care workflows.
Patient Care Coordinator,Supports healthcare services data documentation research or patient care workflows.
Patient Support Specialist,Supports healthcare services data documentation research or patient care workflows.
Patient Access Representative,Supports healthcare services data documentation research or patient care workflows.
Medical Scheduler,Performs the core duties of a medical scheduler and supports related work goals.
Pharmacy Technician,Supports healthcare services data documentation research or patient care workflows.
Remote Pharmacist,Supports healthcare services data documentation research or patient care workflows.
Clinical Pharmacist,Supports healthcare services data documentation research or patient care workflows.
Pharmacovigilance Specialist,Supports healthcare services data documentation research or patient care workflows.
Drug Safety Associate,Supports healthcare services data documentation research or patient care workflows.
Regulatory Affairs Associate,Monitors rules policies and processes to support legal and regulatory compliance.
Medical Affairs Specialist,Supports healthcare services data documentation research or patient care workflows.
Medical Science Liaison,Supports healthcare services data documentation research or patient care workflows.
Genetic Counselor,Supports legal work contracts compliance research or advisory needs.
Mental Health Counselor,Supports legal work contracts compliance research or advisory needs.
Licensed Therapist,Supports healthcare services data documentation research or patient care workflows.
Online Therapist,Supports healthcare services data documentation research or patient care workflows.
Clinical Psychologist,Supports healthcare services data documentation research or patient care workflows.
School Psychologist,Supports healthcare services data documentation research or patient care workflows.
Speech Language Pathologist,Supports healthcare services data documentation research or patient care workflows.
Occupational Therapist,Supports healthcare services data documentation research or patient care workflows.
Telehealth Physician,Supports healthcare services data documentation research or patient care workflows.
Remote Radiologist,Supports healthcare services data documentation research or patient care workflows.
Teleradiologist,Supports healthcare services data documentation research or patient care workflows.
Medical Transcriptionist,Supports healthcare services data documentation research or patient care workflows.
Medical Interpreter,Supports healthcare services data documentation research or patient care workflows.
Education Consultant,Advises organizations and delivers practical solutions for business needs.
Online Teacher,Teaches designs learning materials or supports student and learner success.
Virtual Teacher,Teaches designs learning materials or supports student and learner success.
ESL Teacher,Teaches designs learning materials or supports student and learner success.
English Teacher,Teaches designs learning materials or supports student and learner success.
Math Teacher,Teaches designs learning materials or supports student and learner success.
Science Teacher,Teaches designs learning materials or supports student and learner success.
Computer Science Teacher,Teaches designs learning materials or supports student and learner success.
Language Teacher,Teaches designs learning materials or supports student and learner success.
Tutor,Teaches designs learning materials or supports student and learner success.
Online Tutor,Teaches designs learning materials or supports student and learner success.
Academic Tutor,Teaches designs learning materials or supports student and learner success.
Test Prep Tutor,Teaches designs learning materials or supports student and learner success.
Coding Instructor,Teaches designs learning materials or supports student and learner success.
Programming Instructor,Teaches designs learning materials or supports student and learner success.
Data Science Instructor,Teaches designs learning materials or supports student and learner success.
Cybersecurity Instructor,Protects systems data and users by identifying and reducing security risks.
Instructional Coach,Teaches designs learning materials or supports student and learner success.
Curriculum Developer,Teaches designs learning materials or supports student and learner success.
Curriculum Designer,Teaches designs learning materials or supports student and learner success.
Learning Designer,Creates visual digital or functional designs that meet user and business needs.
Educational Technologist,Teaches designs learning materials or supports student and learner success.
Learning Experience Designer,Teaches designs learning materials or supports student and learner success.
Academic Advisor,Teaches designs learning materials or supports student and learner success.
Admissions Counselor,Supports legal work contracts compliance research or advisory needs.
Student Success Coach,Teaches designs learning materials or supports student and learner success.
Career Coach,Teaches designs learning materials or supports student and learner success.
Life Coach,Teaches designs learning materials or supports student and learner success.
Executive Coach,Teaches designs learning materials or supports student and learner success.
Corporate Learning Manager,Manages people processes projects or services for a business function.
Training Manager,Manages people processes projects or services for a business function.
LMS Administrator,Teaches designs learning materials or supports student and learner success.
Education Program Manager,Plans coordinates and delivers projects while managing scope timelines and stakeholders.
Academic Content Writer,Writes clear content documentation or materials for specific audiences.
Assessment Developer,Teaches designs learning materials or supports student and learner success.
Exam Developer,Teaches designs learning materials or supports student and learner success.
Translator,Translates adapts or reviews language content for clear communication.
Interpreter,Translates adapts or reviews language content for clear communication.
Localization Specialist,Translates adapts or reviews language content for clear communication.
Localization Project Manager,Plans coordinates and delivers projects while managing scope timelines and stakeholders.
Localization QA Tester,Tests software quality and helps prevent defects before release.
Language Specialist,Translates adapts or reviews language content for clear communication.
Linguist,Translates adapts or reviews language content for clear communication.
Language Data Analyst,Analyzes information trends and processes to support better decisions.
Transcriptionist,Translates adapts or reviews language content for clear communication.
Captioner,Translates adapts or reviews language content for clear communication.
Subtitler,Translates adapts or reviews language content for clear communication.
Voice Over Artist,Translates adapts or reviews language content for clear communication.
Narrator,Translates adapts or reviews language content for clear communication.
Remote Interpreter,Translates adapts or reviews language content for clear communication.
Bilingual Customer Support Specialist,Assists customers or users by resolving questions issues and service requests.
Technical Translator,Translates adapts or reviews language content for clear communication.
Medical Translator,Translates adapts or reviews language content for clear communication.
Legal Translator,Supports legal work contracts compliance research or advisory needs.
Financial Translator,Analyzes financial information and supports planning reporting or investment decisions.
Scientific Translator,Translates adapts or reviews language content for clear communication.
Patent Translator,Supports legal work contracts compliance research or advisory needs.
Game Localization Specialist,Creates interactive digital experiences for games simulations or immersive products.
Website Localization Specialist,Translates adapts or reviews language content for clear communication.
Software Localization Engineer,Translates adapts or reviews language content for clear communication.
Localization Manager,Translates adapts or reviews language content for clear communication.
Terminologist,Translates adapts or reviews language content for clear communication.
Quality Reviewer,Performs the core duties of a quality reviewer and supports related work goals.
Search Engine Evaluator,Reviews content data or platform activity to improve quality safety and trust.
Ads Quality Rater,Reviews content data or platform activity to improve quality safety and trust.
Internet Safety Evaluator,Reviews content data or platform activity to improve quality safety and trust.
Online Moderator,Reviews content data or platform activity to improve quality safety and trust.
Content Moderator,Reviews content data or platform activity to improve quality safety and trust.
Trust and Safety Specialist,Reviews content data or platform activity to improve quality safety and trust.
Trust and Safety Analyst,Reviews content data or platform activity to improve quality safety and trust.
Fraud Prevention Specialist,Investigates financial activity and supports fraud compliance controls.
Fraud Investigator,Investigates financial activity and supports fraud compliance controls.
Risk Operations Analyst,Improves business operations planning and execution across teams.
Policy Operations Specialist,Reviews content data or platform activity to improve quality safety and trust.
Marketplace Trust Specialist,Manages online commerce operations listings orders and customer workflows.
Community Safety Specialist,Creates interactive digital experiences for games simulations or immersive products.
Content Quality Analyst,Improves processes quality standards and operational performance.
Data Annotation Specialist,Reviews content data or platform activity to improve quality safety and trust.
AI Data Trainer,Reviews content data or platform activity to improve quality safety and trust.
AI Model Evaluator,Reviews content data or platform activity to improve quality safety and trust.
LLM Evaluator,Reviews content data or platform activity to improve quality safety and trust.
RLHF Specialist,Reviews content data or platform activity to improve quality safety and trust.
Conversation Designer,Builds support content developer programs or conversational experiences for users.
Chatbot Designer,Builds support content developer programs or conversational experiences for users.
Chatbot Developer,Builds support content developer programs or conversational experiences for users.
Voice User Interface Designer,Builds support content developer programs or conversational experiences for users.
Conversational AI Developer,Builds support content developer programs or conversational experiences for users.
Knowledge Base Specialist,Builds support content developer programs or conversational experiences for users.
Technical Trainer,Builds support content developer programs or conversational experiences for users.
Developer Advocate,Builds support content developer programs or conversational experiences for users.
Developer Relations Engineer,Builds support content developer programs or conversational experiences for users.
Technical Evangelist,Builds support content developer programs or conversational experiences for users.
Open Source Program Manager,Plans coordinates and delivers projects while managing scope timelines and stakeholders.
Community Operations Manager,Creates interactive digital experiences for games simulations or immersive products.
Scientific Researcher,Conducts research analysis or reporting for science policy environment or economics.
Research Associate,Performs the core duties of a research associate and supports related work goals.
Postdoctoral Researcher,Conducts research analysis or reporting for science policy environment or economics.
Laboratory Data Analyst,Conducts research analysis or reporting for science policy environment or economics.
Computational Scientist,Conducts research analysis or reporting for science policy environment or economics.
Remote Sensing Analyst,Conducts research analysis or reporting for science policy environment or economics.
GIS Analyst,Conducts research analysis or reporting for science policy environment or economics.
GIS Developer,Conducts research analysis or reporting for science policy environment or economics.
Geospatial Analyst,Conducts research analysis or reporting for science policy environment or economics.
Climate Data Analyst,Conducts research analysis or reporting for science policy environment or economics.
Environmental Analyst,Conducts research analysis or reporting for science policy environment or economics.
Sustainability Analyst,Conducts research analysis or reporting for science policy environment or economics.
Sustainability Consultant,Advises organizations and delivers practical solutions for business needs.
Energy Analyst,Conducts research analysis or reporting for science policy environment or economics.
Renewable Energy Analyst,Conducts research analysis or reporting for science policy environment or economics.
Carbon Accounting Specialist,Conducts research analysis or reporting for science policy environment or economics.
ESG Analyst,Conducts research analysis or reporting for science policy environment or economics.
ESG Consultant,Advises organizations and delivers practical solutions for business needs.
Urban Planning Analyst,Conducts research analysis or reporting for science policy environment or economics.
Policy Researcher,Conducts research analysis or reporting for science policy environment or economics.
Economic Analyst,Conducts research analysis or reporting for science policy environment or economics.
Carpenter,Builds repairs and installs wooden structures and fixtures.
Painter,Prepares surfaces and applies paint finishes to buildings or objects.
Car Painter,Prepares vehicle surfaces and applies automotive paint finishes.
Auto Body Painter,Paints repaired vehicle body panels and matches factory finishes.
Mechanic,Inspects repairs and maintains vehicles machines or mechanical systems.
Auto Mechanic,Diagnoses repairs and maintains cars and light vehicles.
Diesel Mechanic,Repairs and maintains diesel engines and heavy vehicles.
Motorcycle Mechanic,Services and repairs motorcycles scooters and related systems.
Bicycle Mechanic,Repairs tunes and maintains bicycles for safe operation.
Aircraft Mechanic,Inspects repairs and maintains aircraft systems and components.
Heavy Equipment Mechanic,Repairs and maintains construction agricultural and industrial equipment.
Small Engine Mechanic,Repairs small engines used in tools mowers and outdoor equipment.
Electrician,Installs tests and repairs electrical wiring fixtures and systems.
Plumber,Installs repairs and maintains pipes fixtures and water systems.
Welder,Joins metal parts using welding tools and safety procedures.
Pipefitter,Installs and maintains piping systems for industrial and commercial sites.
Steamfitter,Installs and repairs high pressure piping and steam systems.
HVAC Technician,Installs services and repairs heating ventilation and air conditioning systems.
Refrigeration Technician,Installs services and repairs refrigeration and cooling equipment.
Roofer,Installs repairs and maintains roofs and weatherproofing systems.
Mason,Builds and repairs structures using brick block stone or concrete.
Bricklayer,Lays bricks blocks and masonry materials to build structures.
Concrete Finisher,Places levels and finishes concrete surfaces for construction projects.
Tile Setter,Installs tile on floors walls and other prepared surfaces.
Floor Installer,Installs flooring materials such as carpet wood vinyl or tile.
Drywall Installer,Installs drywall panels and prepares surfaces for finishing.
Glazier,Installs repairs and replaces glass in windows doors and structures.
Insulation Installer,Installs insulation materials to improve building energy efficiency.
Scaffolder,Builds and dismantles scaffolding for safe work access.
Construction Laborer,Performs physical construction tasks and supports skilled trades on site.
Construction Worker,Builds repairs and supports construction projects on job sites.
General Laborer,Performs manual labor and supports operations across work sites.
Handyman,Handles basic repairs maintenance and improvement tasks for properties.
Painter Decorator,Applies decorative finishes and improves interior or exterior spaces.
Cabinetmaker,Builds and installs cabinets and custom wood fixtures.
Furniture Maker,Builds repairs and finishes furniture from wood or other materials.
Woodworker,Cuts shapes and finishes wood products and components.
Joiner,Builds and fits wooden components for buildings and interiors.
Locksmith,Installs repairs and opens locks and security hardware.
Blacksmith,Shapes and repairs metal using heat tools and forging methods.
Metal Fabricator,Cuts bends and assembles metal parts for structures or products.
Sheet Metal Worker,Fabricates installs and repairs sheet metal products and systems.
Machinist,Operates machine tools to produce precision metal or plastic parts.
CNC Machinist,Programs and operates CNC machines to create precision parts.
Tool and Die Maker,Builds and repairs precision tools dies and manufacturing fixtures.
Millwright,Installs aligns and repairs industrial machinery and equipment.
Industrial Mechanic,Maintains repairs and troubleshoots machinery in industrial facilities.
Maintenance Technician,Performs routine repairs and maintenance for equipment and facilities.
Building Maintenance Worker,Maintains building systems and handles repairs for properties.
Facilities Technician,Supports building operations maintenance repairs and workplace services.
Janitor,Cleans and maintains buildings to keep spaces safe and orderly.
Cleaner,Cleans homes offices or facilities according to service standards.
Housekeeper,Cleans rooms changes linens and maintains guest or resident spaces.
Custodian,Maintains cleanliness safety and basic upkeep in buildings.
Window Cleaner,Cleans interior and exterior windows using tools and safety methods.
Pressure Washer,Cleans surfaces using high pressure washing equipment.
Landscaper,Maintains outdoor spaces through planting trimming and grounds care.
Gardener,Plants waters prunes and maintains gardens and green spaces.
Groundskeeper,Maintains lawns fields paths and outdoor facilities.
Tree Trimmer,Cuts prunes and removes tree branches safely.
Arborist,Cares for trees and assesses tree health safety and maintenance needs.
Farm Worker,Performs planting harvesting animal care and general farm tasks.
Farmhand,Supports daily farm operations including crops animals and equipment.
Ranch Hand,Cares for livestock and supports ranch maintenance and operations.
Greenhouse Worker,Plants waters harvests and maintains crops in greenhouse settings.
Nursery Worker,Grows maintains and prepares plants for sale or landscaping.
Fruit Picker,Harvests fruit by hand while following quality and safety standards.
Warehouse Worker,Moves stores picks and prepares goods in a warehouse.
Forklift Operator,Operates forklifts to move load and organize materials safely.
Picker Packer,Picks items and packs orders for shipment or delivery.
Order Picker,Selects products from inventory to fulfill customer orders.
Shipping Clerk,Prepares outgoing shipments and manages shipping records.
Receiving Clerk,Receives incoming goods and checks deliveries against records.
Stock Clerk,Organizes shelves stockrooms and inventory records.
Inventory Clerk,Counts tracks and records inventory in stores or warehouses.
Material Handler,Moves materials products and supplies within work sites.
Production Worker,Supports manufacturing tasks on production lines or workstations.
Factory Worker,Operates equipment and completes production tasks in a factory.
Assembly Line Worker,Assembles products or components on a production line.
Assembler,Puts together parts or products following instructions and standards.
Machine Operator,Operates production machines and monitors output quality.
Packaging Operator,Runs packaging equipment and prepares products for shipment.
Quality Inspector,Inspects products or work to confirm standards are met.
Safety Inspector,Checks workplaces equipment and procedures for safety compliance.
Truck Driver,Transports goods by truck while following road and safety rules.
Delivery Driver,Delivers packages food or goods to customers or businesses.
Courier,Transports documents packages or goods quickly between locations.
Bus Driver,Drives buses and transports passengers safely on assigned routes.
Taxi Driver,Transports passengers by taxi and provides local travel service.
Chauffeur,Drives clients in private or hired vehicles with professional service.
Van Driver,Drives vans to transport passengers goods or equipment.
Tow Truck Driver,Tows vehicles and assists drivers with roadside vehicle issues.
Garbage Truck Driver,Drives waste collection trucks and supports sanitation routes.
Ambulance Driver,Drives ambulances and supports emergency medical transport.
Train Conductor,Coordinates train operations passenger service and safety procedures.
Railway Worker,Maintains railway tracks equipment and station operations.
Dock Worker,Loads unloads and moves cargo at docks or ports.
Porter,Carries luggage goods or supplies and supports facility operations.
Mover,Loads transports and unloads furniture and belongings.
Furniture Mover,Moves furniture safely between homes offices or storage sites.
Loader,Loads and unloads goods materials or cargo for transport.
Security Guard,Monitors property controls access and helps prevent safety incidents.
Doorman,Greets visitors manages entry and supports building security.
Bouncer,Controls venue entry and helps maintain safety and order.
Parking Attendant,Manages parking areas collects fees and guides drivers.
Traffic Controller,Directs vehicle or pedestrian traffic around roads and work zones.
Crossing Guard,Helps pedestrians and students cross roads safely.
Lifeguard,Monitors swimmers and responds to water safety emergencies.
Firefighter,Responds to fires rescues and emergency incidents.
Police Officer,Enforces laws protects people and responds to public safety incidents.
Correctional Officer,Supervises inmates and maintains safety in correctional facilities.
Paramedic,Provides advanced emergency medical care and patient transport.
EMT,Provides emergency medical care and transports patients safely.
Nursing Assistant,Assists nurses with patient care and daily living needs.
Caregiver,Supports people with daily care personal tasks and companionship.
Home Health Aide,Provides basic health and personal care in patients homes.
Personal Care Aide,Helps clients with daily living personal care and mobility.
Medical Assistant,Supports clinicians with patient intake basic tests and office tasks.
Dental Assistant,Assists dentists with procedures sterilization and patient preparation.
Phlebotomist,Draws blood samples and prepares specimens for laboratory testing.
Radiology Technician,Operates imaging equipment and assists with diagnostic scans.
Lab Technician,Performs laboratory tests and prepares samples and equipment.
Veterinary Assistant,Supports veterinarians with animal care exams and clinic tasks.
Veterinary Technician,Provides clinical support for animal treatment tests and procedures.
Pharmacy Assistant,Supports pharmacy operations by preparing orders and helping customers.
Childcare Worker,Supervises children and supports daily care learning and safety.
Nanny,Provides in home childcare and supports childrens routines and safety.
Babysitter,Supervises children temporarily and ensures basic care and safety.
Preschool Teacher,Teaches young children through play routines and early learning activities.
Teacher Assistant,Supports teachers with classroom activities materials and student help.
School Bus Driver,Transports students safely between home school and activities.
School Custodian,Cleans and maintains school buildings and grounds.
Cook,Prepares meals and follows kitchen safety and quality standards.
Chef,Plans prepares and oversees food production in a kitchen.
Sous Chef,Assists the head chef and supervises kitchen preparation and service.
Line Cook,Prepares assigned dishes during restaurant service.
Prep Cook,Prepares ingredients and supports kitchen service before cooking.
